p diff est_diff error1 size est_size error2
1163 98172 101673.37 3.566562% 59054148 59021388.43 -0.055474%
1153 99004 102378.82 3.408769% 58955144 58919009.61 -0.061291%
1151 99204 102378.82 3.200292% 58855940 58816630.79 -0.066789%
1129 100532 104192.44 3.641067% 58755408 58712438.36 -0.073133%
1123 100886 104563.56 3.645262% 58654522 58607874.80 -0.079529%
1117 101198 104938.00 3.695728% 58553324 58502936.79 -0.086054%
1109 101728 105505.75 3.713577% 58451596 58397431.05 -0.092666%
1103 102372 105888.36 3.434885% 58349224 58291542.68 -0.098855%
1097 102674 106274.46 3.506694% 58246550 58185268.22 -0.105211%
1093 102658 106468.93 3.712255% 58143892 58078799.30 -0.111951%
1091 102646 106468.93 3.724379% 58041246 57972330.37 -0.118736%
1087 102550 106664.82 4.012502% 57938696 57865665.55 -0.126048%
1069 104178 108261.30 3.919543% 57834518 57757404.25 -0.133335%
1063 104588 108668.68 3.901673% 57729930 57648735.57 -0.140645%
1061 104568 108668.68 3.921545% 57625362 57540066.88 -0.148017%
1051 105314 109495.85 3.970835% 57520048 57430571.04 -0.155558%
1049 105368 109495.85 3.917551% 57414680 57321075.19 -0.163033%
1039 105886 110338.93 4.205402% 57308794 57210736.26 -0.171104%
1033 106500 110766.19 4.005811% 57202294 57099970.07 -0.178881%
1031 106350 110766.19 4.152504% 57095944 56989203.88 -0.186949%
1021 107136 111634.09 4.198488% 56988808 56877569.79 -0.195193%
1019 107148 111634.09 4.186818% 56881660 56765935.70 -0.203447%
